int_video,int_time,str_instrument1,str_instrument2,int_instrument1,int_instrument2,pos_instrument1,pos_instrument2
20,0,out_of_patient,no_secondary_instrument,-1,-2,,
20,1,out_of_patient,no_secondary_instrument,-1,-2,,
20,2,out_of_patient,no_secondary_instrument,-1,-2,,
20,3,out_of_patient,no_secondary_instrument,-1,-2,,
20,4,out_of_patient,no_secondary_instrument,-1,-2,,
20,5,out_of_patient,no_secondary_instrument,-1,-2,,
20,6,out_of_patient,no_secondary_instrument,-1,-2,,
20,7,out_of_patient,no_secondary_instrument,-1,-2,,
20,8,out_of_patient,no_secondary_instrument,-1,-2,,
20,9,out_of_patient,no_secondary_instrument,-1,-2,,
20,10,out_of_patient,no_secondary_instrument,-1,-2,,
20,11,out_of_patient,no_secondary_instrument,-1,-2,,
20,12,out_of_patient,no_secondary_instrument,-1,-2,,
20,13,out_of_patient,no_secondary_instrument,-1,-2,,
20,14,out_of_patient,no_secondary_instrument,-1,-2,,
20,15,out_of_patient,no_secondary_instrument,-1,-2,,
20,16,out_of_patient,no_secondary_instrument,-1,-2,,
20,17,out_of_patient,no_secondary_instrument,-1,-2,,
20,18,out_of_patient,no_secondary_instrument,-1,-2,,
20,19,out_of_patient,no_secondary_instrument,-1,-2,,
20,20,out_of_patient,no_secondary_instrument,-1,-2,,
20,21,out_of_patient,no_secondary_instrument,-1,-2,,
20,22,out_of_patient,no_secondary_instrument,-1,-2,,
20,23,out_of_patient,no_secondary_instrument,-1,-2,,
20,24,out_of_patient,no_secondary_instrument,-1,-2,,
20,25,out_of_patient,no_secondary_instrument,-1,-2,,
20,26,out_of_patient,no_secondary_instrument,-1,-2,,
20,27,out_of_patient,no_secondary_instrument,-1,-2,,
20,28,out_of_patient,no_secondary_instrument,-1,-2,,
20,29,out_of_patient,no_secondary_instrument,-1,-2,,
20,30,out_of_patient,no_secondary_instrument,-1,-2,,
20,31,out_of_patient,no_secondary_instrument,-1,-2,,
20,32,out_of_patient,no_secondary_instrument,-1,-2,,
20,33,out_of_patient,no_secondary_instrument,-1,-2,,
20,34,out_of_patient,no_secondary_instrument,-1,-2,,
20,35,out_of_patient,no_secondary_instrument,-1,-2,,
20,36,out_of_patient,no_secondary_instrument,-1,-2,,
20,37,out_of_patient,no_secondary_instrument,-1,-2,,
20,38,out_of_patient,no_secondary_instrument,-1,-2,,
20,39,out_of_patient,no_secondary_instrument,-1,-2,,
20,40,out_of_patient,no_secondary_instrument,-1,-2,,
