int_video,int_time,str_step,int_step
3,0,operation_not_started,-1
3,48,nasal_corridor_creation,1
3,89,anterior_sphenoidotomy,2
3,255,sphenoid_sinus_clearance,4
3,432,anterior_sphenoidotomy,2
3,668,septum_displacement,3
3,711,sphenoid_sinus_clearance,4
3,1166,sellotomy,5
3,1432,sphenoid_sinus_clearance,4
3,1476,sellotomy,5
3,1905,durotomy,6
3,2088,tumour_excision,7
3,2753,sellotomy,5
3,2802,tumour_excision,7
3,2994,haemostasis,8
3,3153,synthetic_graft_placement,9
3,3415,operation_ended,-1
