int_video,int_time,str_step,int_step
24,0,nasal_corridor_creation,1
24,97,anterior_sphenoidotomy,2
24,595,septum_displacement,3
24,653,sphenoid_sinus_clearance,4
24,1075,haemostasis,8
24,1369,sellotomy,5
24,1873,durotomy,6
24,1996,haemostasis,8
24,2165,durotomy,6
24,2271,tumour_excision,7
24,3143,synthetic_graft_placement,9
24,3249,tumour_excision,7
24,6739,synthetic_graft_placement,9
24,6756,haemostasis,8
24,7206,fat_graft_placement,10
24,7434,debris_clearance,14
24,7514,dural_sealant,12
24,7623,operation_ended,-1
