int_video,int_time,str_step,int_step
23,0,operation_not_started,-1
23,18,nasal_corridor_creation,1
23,84,anterior_sphenoidotomy,2
23,382,sphenoid_sinus_clearance,4
23,599,sellotomy,5
23,631,sphenoid_sinus_clearance,4
23,665,septum_displacement,3
23,685,sphenoid_sinus_clearance,4
23,1239,sellotomy,5
23,1856,durotomy,6
23,1923,sellotomy,5
23,2095,durotomy,6
23,2375,tumour_excision,7
23,3408,haemostasis,8
23,3556,fat_graft_placement,10
23,3577,haemostasis,8
23,3601,fat_graft_placement,10
23,3657,dural_sealant,12
23,3717,debris_clearance,14
23,3756,dural_sealant,12
23,3765,operation_ended,-1
