int_video,int_time,str_step,int_step
10,0,operation_not_started,-1
10,80,nasal_corridor_creation,1
10,424,anterior_sphenoidotomy,2
10,1114,septum_displacement,3
10,1134,sphenoid_sinus_clearance,4
10,1137,septum_displacement,3
10,1140,sphenoid_sinus_clearance,4
10,1147,septum_displacement,3
10,1153,sphenoid_sinus_clearance,4
10,1155,septum_displacement,3
10,1159,sphenoid_sinus_clearance,4
10,1191,septum_displacement,3
10,1204,sphenoid_sinus_clearance,4
10,1759,sellotomy,5
10,1864,sphenoid_sinus_clearance,4
10,1950,sellotomy,5
10,2714,durotomy,6
10,2747,sellotomy,5
10,2771,durotomy,6
10,2798,sellotomy,5
10,2825,haemostasis,8
10,2917,durotomy,6
10,3163,haemostasis,8
10,3231,tumour_excision,7
10,4093,haemostasis,8
10,4189,synthetic_graft_placement,9
10,4356,fat_graft_placement,10
10,4398,dural_sealant,12
10,4417,debris_clearance,14
10,4435,operation_ended,-1
