int_video,int_time,str_step,int_step
15,0,operation_not_started,-1
15,21,nasal_corridor_creation,1
15,117,anterior_sphenoidotomy,2
15,454,haemostasis,8
15,486,anterior_sphenoidotomy,2
15,615,septum_displacement,3
15,681,sphenoid_sinus_clearance,4
15,690,septum_displacement,3
15,706,sphenoid_sinus_clearance,4
15,1176,sellotomy,5
15,1899,sphenoid_sinus_clearance,4
15,1914,durotomy,6
15,2185,tumour_excision,7
15,3016,haemostasis,8
15,3614,synthetic_graft_placement,9
15,3717,fat_graft_placement,10
15,3795,dural_sealant,12
15,3901,debris_clearance,14
15,3931,operation_ended,-1
