int_video,int_time,str_step,int_step
11,0,operation_ended,-1
11,25,nasal_corridor_creation,1
11,118,anterior_sphenoidotomy,2
11,479,haemostasis,8
11,507,anterior_sphenoidotomy,2
11,644,septum_displacement,3
11,654,sphenoid_sinus_clearance,4
11,657,septum_displacement,3
11,664,sphenoid_sinus_clearance,4
11,672,septum_displacement,3
11,677,sphenoid_sinus_clearance,4
11,1522,haemostasis,8
11,1553,sphenoid_sinus_clearance,4
11,1729,sellotomy,5
11,1846,haemostasis,8
11,2006,sphenoid_sinus_clearance,4
11,2042,sellotomy,5
11,2862,durotomy,6
11,2984,tumour_excision,7
11,3642,haemostasis,8
11,3805,fat_graft_placement,10
11,3868,dural_sealant,12
11,3901,nasal_packing,13
11,4015,operation_ended,-1
