int_video,int_time,str_step,int_step
9,0,operation_not_started,-1
9,32,nasal_corridor_creation,1
9,73,anterior_sphenoidotomy,2
9,327,septum_displacement,3
9,364,sphenoid_sinus_clearance,4
9,901,sellotomy,5
9,1462,durotomy,6
9,1677,tumour_excision,7
9,2016,haemostasis,8
9,2114,tumour_excision,7
9,2432,haemostasis,8
9,2616,tumour_excision,7
9,2646,haemostasis,8
9,2738,tumour_excision,7
9,2878,haemostasis,8
9,3081,fat_graft_placement,10
9,3254,dural_sealant,12
9,3283,debris_clearance,14
9,3360,operation_ended,-1
