int_video,int_time,str_step,int_step
14,0,nasal_corridor_creation,1
14,47,anterior_sphenoidotomy,2
14,573,septum_displacement,3
14,742,sphenoid_sinus_clearance,4
14,878,sellotomy,5
14,2535,haemostasis,8
14,2734,durotomy,6
14,2977,tumour_excision,7
14,3659,haemostasis,8
14,3827,tumour_excision,7
14,4084,haemostasis,8
14,4268,synthetic_graft_placement,9
14,4276,fat_graft_placement,10
14,4399,haemostasis,8
14,4512,synthetic_graft_placement,9
14,4564,fat_graft_placement,10
14,4666,debris_clearance,14
14,4716,dural_sealant,12
14,4728,debris_clearance,14
14,4741,operation_ended,-1
