int_video,int_time,str_step,int_step
2,0,nasal_corridor_creation,1
2,289,anterior_sphenoidotomy,2
2,976,septum_displacement,3
2,1042,sphenoid_sinus_clearance,4
2,1678,sellotomy,5
2,1728,sphenoid_sinus_clearance,4
2,2158,sellotomy,5
2,2250,sphenoid_sinus_clearance,4
2,2346,sellotomy,5
2,2400,sphenoid_sinus_clearance,4
2,2485,haemostasis,8
2,2886,durotomy,6
2,3027,sellotomy,5
2,3282,haemostasis,8
2,3480,durotomy,6
2,3661,tumour_excision,7
2,4702,haemostasis,8
2,5433,synthetic_graft_placement,9
2,5581,fat_graft_placement,10
2,5749,dural_sealant,12
2,5821,debris_clearance,14
2,5912,haemostasis,8
2,6014,operation_ended,-1
