int_video,int_time,str_step,int_step
5,0,nasal_corridor_creation,1
5,32,anterior_sphenoidotomy,2
5,151,haemostasis,8
5,174,anterior_sphenoidotomy,2
5,219,haemostasis,8
5,240,anterior_sphenoidotomy,2
5,264,septum_displacement,3
5,317,sphenoid_sinus_clearance,4
5,874,sellotomy,5
5,936,haemostasis,8
5,1111,sphenoid_sinus_clearance,4
5,1133,sellotomy,5
5,1305,durotomy,6
5,1338,sellotomy,5
5,1358,haemostasis,8
5,1410,durotomy,6
5,1443,haemostasis,8
5,1502,durotomy,6
5,1587,tumour_excision,7
5,2375,haemostasis,8
5,2664,gasket_seal_construct,11
5,2811,fat_graft_placement,10
5,2835,haemostasis,8
5,2925,fat_graft_placement,10
5,3002,synthetic_graft_placement,9
5,3085,gasket_seal_construct,11
5,3664,synthetic_graft_placement,9
5,3790,fat_graft_placement,10
5,3870,dural_sealant,12
5,3917,debris_clearance,14
5,3950,operation_ended,-1
