int_video,int_time,str_step,int_step
16,0,operation_not_started,-1
16,23,nasal_corridor_creation,1
16,132,anterior_sphenoidotomy,2
16,301,septum_displacement,3
16,305,sphenoid_sinus_clearance,4
16,331,anterior_sphenoidotomy,2
16,398,septum_displacement,3
16,429,sphenoid_sinus_clearance,4
16,438,septum_displacement,3
16,452,sphenoid_sinus_clearance,4
16,798,sellotomy,5
16,1303,haemostasis,8
16,1364,sellotomy,5
16,1492,haemostasis,8
16,1626,durotomy,6
16,1835,tumour_excision,7
16,3223,haemostasis,8
16,3755,synthetic_graft_placement,9
16,4028,haemostasis,8
16,4442,fat_graft_placement,10
16,4116,synthetic_graft_placement,9
16,4324,haemostasis,8
16,4501,dural_sealant,12
16,4521,debris_clearance,14
16,4683,haemostasis,8
16,4755,debris_clearance,14
16,4873,operation_ended,-1
