int_video,int_time,str_step,int_step
19,0,operation_not_started,-1
19,17,nasal_corridor_creation,1
19,95,anterior_sphenoidotomy,2
19,579,septum_displacement,3
19,643,anterior_sphenoidotomy,2
19,648,sphenoid_sinus_clearance,4
19,1332,sellotomy,5
19,1370,haemostasis,8
19,1759,sellotomy,5
19,2240,durotomy,6
19,2306,sellotomy,5
19,2422,durotomy,6
19,2483,sellotomy,5
19,2613,durotomy,6
19,2739,tumour_excision,7
19,3003,haemostasis,8
19,3027,tumour_excision,7
19,4035,haemostasis,8
19,4167,fat_graft_placement,10
19,4307,dural_sealant,12
19,4331,debris_clearance,14
19,4406,operation_ended,-1
