int_video,int_time,str_step,int_step
4,0,operation_not_started,-1
4,38,nasal_corridor_creation,1
4,119,anterior_sphenoidotomy,2
4,596,septum_displacement,3
4,653,sphenoid_sinus_clearance,4
4,756,anterior_sphenoidotomy,2
4,778,sphenoid_sinus_clearance,4
4,797,septum_displacement,3
4,817,sphenoid_sinus_clearance,4
4,1519,anterior_sphenoidotomy,2
4,1574,sphenoid_sinus_clearance,4
4,1624,sellotomy,5
4,2648,sphenoid_sinus_clearance,4
4,2701,sellotomy,5
4,2768,sphenoid_sinus_clearance,4
4,2783,sellotomy,5
4,2881,sphenoid_sinus_clearance,4
4,2919,haemostasis,8
4,2988,durotomy,6
4,3110,haemostasis,8
4,3182,durotomy,6
4,3294,tumour_excision,7
4,4864,haemostasis,8
4,5025,fat_graft_placement,10
4,5087,dural_sealant,12
4,5293,operation_ended,-1
