int_video,int_time,str_step,int_step
13,0,operation_not_started,-1
13,8,nasal_corridor_creation,1
13,128,anterior_sphenoidotomy,2
13,662,sphenoid_sinus_clearance,4
13,851,septum_displacement,3
13,872,sphenoid_sinus_clearance,4
13,1701,septum_displacement,3
13,1714,sphenoid_sinus_clearance,4
13,2031,sellotomy,5
13,2073,sphenoid_sinus_clearance,4
13,2116,haemostasis,8
13,2384,sellotomy,5
13,2832,haemostasis,8
13,2914,durotomy,6
13,3133,tumour_excision,7
13,4118,haemostasis,8
13,4125,synthetic_graft_placement,9
13,4508,fat_graft_placement,10
13,4579,dural_sealant,12
13,4604,operation_ended,-1
