int_video,int_time,str_step,int_step
21,0,operation_not_started,-1
21,55,nasal_corridor_creation,1
21,178,anterior_sphenoidotomy,2
21,909,septum_displacement,3
21,1004,sphenoid_sinus_clearance,4
21,1011,septum_displacement,3
21,1046,sphenoid_sinus_clearance,4
21,1487,haemostasis,8
21,1505,sphenoid_sinus_clearance,4
21,1981,sellotomy,5
21,2107,haemostasis,8
21,2322,sellotomy,5
21,2458,sphenoid_sinus_clearance,4
21,2554,sellotomy,5
21,3116,durotomy,6
21,3309,tumour_excision,7
21,5198,haemostasis,8
21,5883,synthetic_graft_placement,9
21,6266,fat_graft_placement,10
21,6441,synthetic_graft_placement,9
21,6604,dural_sealant,12
21,6638,debris_clearance,14
21,6715,operation_ended,-1
