int_video,int_time,str_step,int_step
20,0,operation_not_started,-1
20,59,nasal_corridor_creation,1
20,627,anterior_sphenoidotomy,2
20,1263,septum_displacement,3
20,1377,sphenoid_sinus_clearance,4
20,1849,sellotomy,5
20,1886,sphenoid_sinus_clearance,4
20,2118,sellotomy,5
20,2200,sphenoid_sinus_clearance,4
20,2368,haemostasis,8
20,2590,sphenoid_sinus_clearance,4
20,2715,sellotomy,5
20,3435,durotomy,6
20,3494,haemostasis,8
20,3513,sellotomy,5
20,3612,haemostasis,8
20,3678,durotomy,6
20,3982,haemostasis,8
20,4008,durotomy,6
20,4108,haemostasis,8
20,4320,tumour_excision,7
20,4794,haemostasis,8
20,4824,tumour_excision,7
20,5336,haemostasis,8
20,5638,tumour_excision,7
20,7189,haemostasis,8
20,7671,gasket_seal_construct,11
20,7943,synthetic_graft_placement,9
20,8141,gasket_seal_construct,8
20,8392,fat_graft_placement,10
20,8547,dural_sealant,12
20,8576,debris_clearance,14
20,8626,operation_ended,-1
