int_video,int_time,str_step,int_step
18,0,nasal_corridor_creation,1
18,130,anterior_sphenoidotomy,2
18,601,septum_displacement,3
18,693,sphenoid_sinus_clearance,4
18,1001,haemostasis,8
18,1087,sphenoid_sinus_clearance,4
18,2164,sellotomy,5
18,2247,sphenoid_sinus_clearance,4
18,2285,sellotomy,5
18,2695,durotomy,6
18,2871,haemostasis,8
18,2927,tumour_excision,7
18,3234,haemostasis,8
18,3453,tumour_excision,7
18,3869,haemostasis,8
18,4030,synthetic_graft_placement,9
18,4300,tumour_excision,7
18,4391,fat_graft_placement,10
18,4561,dural_sealant,12
18,4692,debris_clearance,14
18,4737,dural_sealant,12
18,4741,operation_ended,-1
