int_video,int_time,str_step,int_step
12,0,operation_ended,-1
12,54,nasal_corridor_creation,1
12,123,anterior_sphenoidotomy,2
12,711,septum_displacement,3
12,779,sphenoid_sinus_clearance,4
12,1688,sellotomy,5
12,1803,sphenoid_sinus_clearance,4
12,1961,sellotomy,5
12,2623,durotomy,6
12,2810,haemostasis,8
12,3143,durotomy,6
12,3232,haemostasis,8
12,3546,durotomy,6
12,3682,sellotomy,5
12,3735,durotomy,6
12,3831,tumour_excision,7
12,3964,haemostasis,8
12,4165,tumour_excision,7
12,4501,haemostasis,8
12,4695,synthetic_graft_placement,9
12,4734,fat_graft_placement,10
12,4762,dural_sealant,12
12,4814,debris_clearance,14
12,4913,operation_ended,-1
